0.35714,0.39286,0.39286,0.42857,0.53571,0.60714,0.42857,0.39286,0.28571,0.21429,0.17857,0.21429,0.25,0.32143,0.46429,0.60714,0.64286,0.78571,0.64286,0.53571
0.42857,0.5,0.5,0.71429,0.82143,0.78571,0.64286,0.46429,0.32143,0.21429,0.21429,0.28571,0.35714,0.39286,0.46429,0.53571,0.67857,0.75,0.71429,0.53571
0.42857,0.5,0.57143,0.78571,0.92857,0.89286,0.75,0.46429,0.35714,0.35714,0.28571,0.32143,0.5,0.46429,0.5,0.60714,0.71429,0.67857,0.67857,0.5
0.35714,0.35714,0.57143,0.78571,0.89286,0.82143,0.60714,0.39286,0.32143,0.21429,0.28571,0.42857,0.53571,0.46429,0.5,0.60714,0.71429,0.67857,0.60714,0.42857
0.32143,0.42857,0.60714,0.64286,0.67857,0.64286,0.53571,0.42857,0.35714,0.39286,0.42857,0.46429,0.53571,0.71429,0.78571,0.75,0.71429,0.67857,0.64286,0.39286
0.35714,0.42857,0.53571,0.64286,0.64286,0.57143,0.53571,0.53571,0.5,0.53571,0.53571,0.60714,0.71429,0.75,0.82143,0.92857,0.82143,0.75,0.53571,0.39286
0.39286,0.5,0.53571,0.5,0.35714,0.39286,0.42857,0.5,0.60714,0.60714,0.5,0.53571,0.64286,0.85714,0.96429,1,0.85714,0.82143,0.64286,0.53571
0.5,0.57143,0.5,0.5,0.46429,0.5,0.57143,0.60714,0.64286,0.64286,0.57143,0.57143,0.64286,0.75,0.89286,1,0.89286,0.78571,0.53571,0.46429
0.39286,0.46429,0.42857,0.35714,0.25,0.32143,0.46429,0.46429,0.46429,0.42857,0.39286,0.39286,0.57143,0.64286,0.78571,0.82143,0.78571,0.67857,0.53571,0.35714
0.32143,0.32143,0.32143,0.32143,0.28571,0.35714,0.46429,0.39286,0.39286,0.28571,0.28571,0.35714,0.35714,0.42857,0.57143,0.57143,0.57143,0.42857,0.39286,0.28571
0.14286,0.14286,0.17857,0.17857,0.21429,0.32143,0.39286,0.35714,0.21429,0.17857,0.14286,0.21429,0.39286,0.21429,0.21429,0.32143,0.35714,0.32143,0.28571,0.17857
0.10714,0.035714,0.14286,0.28571,0.28571,0.42857,0.39286,0.39286,0.32143,0.25,0.17857,0.25,0.42857,0.25,0.21429,0.25,0.32143,0.28571,0.21429,0.25
0.10714,0.17857,0.17857,0.28571,0.35714,0.5,0.42857,0.32143,0.21429,0.21429,0.32143,0.42857,0.46429,0.39286,0.32143,0.25,0.35714,0.39286,0.28571,0.25
0.25,0.35714,0.39286,0.46429,0.46429,0.53571,0.46429,0.35714,0.28571,0.28571,0.32143,0.42857,0.57143,0.39286,0.32143,0.35714,0.28571,0.28571,0.28571,0.28571
0.32143,0.46429,0.53571,0.57143,0.5,0.57143,0.39286,0.25,0.25,0.25,0.32143,0.42857,0.5,0.35714,0.28571,0.28571,0.32143,0.28571,0.28571,0.25
0.57143,0.67857,0.75,0.71429,0.64286,0.60714,0.42857,0.32143,0.21429,0.21429,0.25,0.32143,0.39286,0.35714,0.32143,0.25,0.25,0.28571,0.21429,0.21429
0.46429,0.60714,0.78571,0.71429,0.60714,0.53571,0.35714,0.32143,0.25,0.25,0.25,0.25,0.35714,0.25,0.25,0.28571,0.21429,0.39286,0.25,0.21429
0.42857,0.57143,0.60714,0.64286,0.64286,0.57143,0.39286,0.39286,0.32143,0.28571,0.21429,0.17857,0.21429,0.14286,0.21429,0.32143,0.35714,0.42857,0.28571,0.28571
0.25,0.42857,0.46429,0.60714,0.60714,0.57143,0.46429,0.46429,0.35714,0.28571,0.25,0.21429,0.21429,0.14286,0.17857,0.28571,0.42857,0.5,0.39286,0.21429
0.14286,0.14286,0.28571,0.42857,0.39286,0.42857,0.32143,0.32143,0.35714,0.28571,0.21429,0.17857,0.14286,0.17857,0.32143,0.42857,0.53571,0.46429,0.46429,0.25
