0.90909,0.86364,0.63636,0.59091,0.63636,0.59091,0.81818,0.77273,0.54545,0.5,0.54545,0.59091,0.95455
0.95455,0.90909,0.86364,0.45455,0.59091,0.54545,0.5,0.81818,0.90909,0.5,0.40909,0.86364,1
0.90909,0.95455,0.54545,0.63636,0.45455,0.54545,0.5,0.86364,0.77273,0.45455,0.5,0.86364,0.86364
0.77273,0.54545,0.5,0.40909,0.45455,0.59091,0.40909,0.54545,1,0.54545,0.45455,0.5,0.59091
0.5,0.45455,0.59091,0.40909,0.54545,0.5,0.5,0.36364,0.5,0.40909,0.54545,0.45455,0.40909
0.5,0.45455,0.59091,0.40909,0.54545,0.5,0.5,0.36364,0.5,0.40909,0.54545,0.45455,0.40909
0.77273,0.54545,0.5,0.40909,0.45455,0.59091,0.40909,0.54545,1,0.54545,0.45455,0.5,0.59091
0.90909,0.95455,0.54545,0.63636,0.45455,0.54545,0.5,0.86364,0.77273,0.45455,0.5,0.86364,0.86364
0.95455,0.90909,0.86364,0.45455,0.59091,0.54545,0.5,0.81818,0.90909,0.5,0.40909,0.86364,1
0.90909,0.86364,0.63636,0.59091,0.63636,0.59091,0.81818,0.77273,0.54545,0.5,0.54545,0.59091,0.95455
